date	All NBA Teams	Atlanta Hawks	Boston Celtics	Brooklyn Nets	Charloette Hornets	Chicago Bulls	Cleveland Cavaliers	Dalls Mavericks	Denver Nuggets	Detroit Pistons	Golden State Warriors	Houston Rockets	Indianna Pacers	Los Angeles Clippers	Los Angeles Lakers	Memphis Grizzlies	Miami Heat	Milwaukee Bucks	Minnesota Timberwolves	New Orleans Pelicans	New York Knicks	Oklahoma City Thunder	Orlando Magic	Philadelphia 76er's	Phoenix Suns	Portland Trailblazers	Sacramento Kings	San Antonio Spurs	Toronto Raptors	Utah Jazz	Washington Wizards
20120101	1032053	44	56583	0	7681	126636	17262	35908	15944	15380	26911	13502	26245	35073	189435	14103	234213	15665	78	0	57039	19500	164	45283	646	47	9319	28880	15945	10400	14167
20120201	946696	18	67956	0	10070	107978	16131	26868	11543	9127	17592	14188	25442	25321	132921	7004	147841	19818	52	0	152198	35929	156	39572	230	61	16791	20074	17191	14095	10529
20120301	980395	17	61354	1	9246	125879	9657	27508	14809	12513	24536	16785	27870	22144	195991	11298	159797	18663	67	0	83249	45831	253	36390	267	71	14690	22077	15399	15020	9013
20120401	1202432	17	90632	6816	12302	173691	6486	23265	18963	9765	11699	24443	39685	39946	190548	24250	206632	11861	28	0	132837	51563	132	29986	465	35	10875	45508	12246	14646	13110
20120501	1647578	30	222924	9471	1647	60560	5508	15732	37987	1522	4320	1686	142760	50193	333253	24339	319335	1719	19	0	77582	129341	113	98266	169	9	1660	97221	2042	6736	1434
20120601	1559801	2	282940	8595	14298	19420	6601	7232	3281	5748	8339	9988	9691	5946	45947	2767	757668	6146	9	0	13249	280516	63	6053	184	46	5190	45189	6098	1928	6667
20120701	488345	6	40337	34821	6738	17506	4407	9386	4569	4107	9183	19650	15596	14011	84819	4157	115680	5817	17	0	37399	19229	189	9894	240	33	4482	7116	10914	3641	4401
20120801	247805	206	12328	9461	3009	8549	1035	2165	6438	1350	3274	3774	4434	5425	112966	1123	25421	2026	10	0	10248	13181	144	11610	1251	14	1304	2852	2444	959	804
20120901	182486	843	13295	16032	2068	9044	1516	3426	1934	1450	3043	2894	7207	3540	36005	1329	41947	1968	9	0	10071	6019	31	3398	4741	14	1582	3200	3338	1118	1424
20121001	594957	7808	59725	20503	6675	31981	7820	17433	7751	8765	12134	20449	14417	23368	131113	4896	102946	6877	17	0	25811	24339	46	11777	7370	20	7796	8852	10721	6240	7307
20121101	1411989	23678	88877	73911	13941	72025	19012	25375	29058	18916	34016	45241	24836	46971	275349	26776	183152	36465	72	0	127348	58838	111	27616	31215	43	13420	61920	29174	13357	11276
20121201	1425928	28684	73702	57852	18616	66951	19193	33068	20574	18631	40997	38916	20966	65420	275996	15652	206973	21826	113	0	204072	54117	161	20231	16939	37	14498	32318	22973	14817	21635
20130101	1565551	32713	123439	38007	19616	128774	22384	31397	25958	19381	46752	34895	36855	67916	334971	19386	225497	24115	33	0	89337	64969	70	24582	20738	46	19482	35232	39120	12811	27075
20130201	1414132	25716	105235	32034	12339	66086	31421	17739	27088	17412	41286	44990	48079	54445	290070	10525	264462	23470	34	0	71073	48404	80	20794	17798	34	17272	35489	62332	13927	14498
20130301	1803538	34525	115692	27536	17223	117615	27581	37507	50991	13991	37096	41272	39796	53539	267165	21497	525604	33690	35	4	103519	59148	236	36928	15461	29	16633	42494	32339	15363	19029
20130401	1959078	30937	105995	59367	7081	160074	11897	19475	49359	8452	102622	83720	44302	66961	428891	33441	279239	43711	12	5851	194313	76428	59	9950	10461	19	7848	76918	14919	14192	12584
20130501	1643386	10701	50356	22749	37	179693	13407	6241	14378	3365	137114	33996	198233	14050	26919	88314	457118	2370	7	2250	123667	82579	15	3069	5225	2	6754	152306	2933	1853	3685
20130601	1643752	11686	27181	22533	43	18811	14441	11710	8548	13154	10650	8478	101575	16039	58813	4968	894218	9292	33	5801	17505	8103	310	12506	10979	5	8485	327402	5987	7362	7134
20130701	547253	14656	36484	19216	21	14879	12707	19692	7584	23478	30315	37705	11897	11403	113609	4341	66937	10938	40	7532	21097	10674	22	8466	14613	12	7895	19857	10800	6176	4207
20130801	206784	4346	8159	7458	10	7127	3032	7304	2204	10093	13061	10962	5698	6061	33054	2358	26626	5937	3	2396	15252	3821	149	7184	9118	17	2572	5114	4131	1628	1909
20130901	256123	7367	7521	9326	24	33580	3771	8161	1730	6444	10301	9510	9597	5130	46948	4734	27373	5516	1	1926	13074	6259	21	4102	5554	2838	6514	4429	9230	2090	3052
20131001	932837	13033	29958	27619	135	134009	17022	15902	9519	16446	32329	41070	43920	39113	168832	7011	140869	11006	10	9229	38747	19669	122	22902	10409	9164	15923	18874	19475	7930	12590
20131101	1678287	26220	64733	43964	215	126182	27936	43896	27614	37263	77563	80057	98198	60703	278975	20631	191125	26283	41	18944	76724	58758	79	58579	38191	41528	24487	53219	31458	17423	27298
20131201	1758766	40900	54241	39772	288	94028	24767	36278	16831	38483	88182	60782	105294	48965	310961	19208	230861	18568	74	17467	114671	67345	110	27304	35271	100465	38311	52557	38972	16937	20873
20140101	1693321	43723	75934	64681	264	96989	32504	36681	22089	21843	100454	65381	74288	53504	171767	19272	207001	17656	22	21717	143875	90210	51	30558	50408	58895	29429	50435	74151	11837	27702
20140201	1460833	26239	32397	39919	261	75167	39227	34564	16484	29537	74130	71382	64601	67048	144789	19243	206230	22052	21	21752	92210	59144	41	47485	42549	55622	24852	41544	52428	12535	47380
20140301	1729612	24434	34361	51364	150	122949	43365	45899	19845	25664	62913	94395	92702	75082	169406	21229	233345	23248	17	21084	115729	73364	38	63396	50427	47427	17995	89764	65631	16493	27896
20140401	2751781	87670	23435	109198	165	157665	13560	134985	20858	24127	183162	183374	125938	212603	115213	82229	251858	21419	25	9520	72153	160050	60	18834	55669	149489	18578	152044	238021	9557	120322
20140501	2301697	33843	17384	106785	35801	13237	25607	50609	2940	12227	84603	31405	280401	171544	48665	22178	442131	13649	12	2032	18945	284371	25	26472	9690	122266	9325	239501	107460	4690	83899
20140601	1928137	23541	38280	9675	72887	44790	48224	26766	13298	14265	17004	25418	14180	15249	119085	8852	491171	44448	14	2735	48412	14830	48	56916	19761	8667	18292	681423	22500	20539	6867
20140701	1290864	22459	18662	13770	36589	104383	207781	37094	10713	14520	22824	43694	14958	18351	174055	12571	136179	32951	28	10272	45795	20045	15303	58969	47228	18020	34921	50323	24250	15440	28716
20140801	576010	9211	12890	6566	17736	46339	79399	17902	10391	9131	22746	15255	36603	22531	52116	3139	35419	16171	23	2330	22044	8162	5059	19371	12755	11652	14528	40280	14594	5711	5956
20140901	496894	11477	10115	7861	9664	46373	52924	27759	10198	11501	35847	12402	6408	11026	57323	5881	27579	11429	14	5705	18779	7968	6586	16753	16324	9565	14168	18230	11081	5683	10271
20141001	1598899	23035	34020	24293	109703	124014	133645	54822	17173	21615	52347	52227	21103	30475	219465	15262	128514	35031	18	16186	122364	24023	21627	29998	38259	29257	24163	80894	45843	46609	22914
20141101	2193263	53932	59641	39193	49402	124279	125225	67571	36710	30252	135731	110941	36100	62841	239903	57752	130146	51019	26	32734	95903	44601	37142	75085	41115	59363	63183	101966	144036	41850	45621
20141201	2842043	87186	66887	51786	34487	163457	169817	125593	21505	36311	222905	132802	26789	204316	317904	70737	171385	57404	36	42704	80601	80207	31657	79460	44845	94652	59721	117530	131346	18409	99604
20150101	3041470	204073	51019	37314	40622	204684	221775	71677	22924	84670	245306	147224	33420	191018	218190	67832	198166	71662	17	32913	78830	92892	35047	61097	56887	109557	48409	89494	210388	38565	75798
20150201	2048045	171230	47045	33946	27394	109899	148092	72086	15949	44317	158289	101720	34623	70438	84310	41168	141353	65782	44	44021	50856	84487	35180	67671	57397	77795	44250	75559	80256	26940	35948
